~=~=~=MPPT Charge Controller=~=~=~
Performing VI curve
minimum current : 0.000
maximum current : 2.000
step size : 0.004
Length is : 499
This will take aprox 99 seconds
Current limit set to : 0.000
Please, restart the electronic load
The test will initiate in 5 seconds
-0.432 , -0.036 , -0.420 , 6.787,0.3796,2.577,0.022,0.444, 6.524324E+00, 5.483425E-01 , -5.563814E-01 , -3.337966E+00 
0.355 , 0.007 , 0.182 , 7.142,0.3863,2.759,0.777,0.448, 6.561514E+00, 5.484206E-01 , -5.562515E-01 , -3.337186E+00 
-0.230 , 0.073 , 0.417 , 6.912,0.4595,3.176,0.511,0.452, 6.561161E+00, 5.447503E-01 , -5.561792E-01 , -3.336753E+00 
-0.173 , -0.042 , -0.364 , 6.739,0.4174,2.813,0.555,0.448, 6.523715E+00, 5.446907E-01 , -5.562374E-01 , -3.337102E+00 
0.547 , 0.018 , 0.358 , 7.286,0.4351,3.170,0.377,0.452, 6.526992E+00, 5.483473E-01 , -5.564019E-01 , -3.338084E+00 
0.019 , -0.053 , -0.381 , 7.306,0.3818,2.790,0.755,0.448, 6.561604E+00, 5.484626E-01 , -5.562336E-01 , -3.337075E+00 
-0.394 , 0.018 , -0.028 , 6.912,0.3996,2.762,0.466,0.452, 6.539563E+00, 5.446857E-01 , -5.561958E-01 , -3.336846E+00 
-0.038 , 0.002 , -0.000 , 6.874,0.4018,2.762,0.377,0.456, 6.524297E+00, 5.446653E-01 , -5.563962E-01 , -3.338051E+00 
0.230 , 0.009 , 0.156 , 7.104,0.4107,2.918,0.488,0.460, 6.561017E+00, 5.483761E-01 , -5.562829E-01 , -3.337368E+00 
-0.154 , 0.011 , 0.014 , 6.950,0.4218,2.932,0.533,0.464, 6.560531E+00, 5.484118E-01 , -5.561946E-01 , -3.336839E+00 
-0.029 , 0.000 , -0.012 , 6.922,0.4218,2.920,0.488,0.468, 6.524026E+00, 5.447338E-01 , -5.562195E-01 , -3.336991E+00 
-0.019 , 0.000 , -0.008 , 6.902,0.4218,2.911,0.466,0.472, 6.524081E+00, 5.455522E-01 , -5.564058E-01 , -3.338109E+00 
-0.058 , 0.004 , 0.006 , 6.845,0.4262,2.918,0.488,0.476, 6.561247E+00, 5.484153E-01 , -5.562662E-01 , -3.338001E+00 
-0.029 , 0.016 , 0.094 , 6.816,0.4418,3.011,0.488,0.480, 6.560839E+00, 5.473043E-01 , -5.563712E-01 , -3.337905E+00 
-0.019 , 0.000 , -0.008 , 6.797,0.4418,3.003,0.511,0.484, 6.523286E+00, 5.447250E-01 , -5.561933E-01 , -3.336835E+00 
-0.058 , 0.002 , -0.010 , 6.739,0.4440,2.992,0.511,0.488, 6.524406E+00, 5.473223E-01 , -5.563283E-01 , -3.337651E+00 
-0.029 , 0.000 , -0.013 , 6.710,0.4440,2.979,0.533,0.492, 6.560864E+00, 5.483672E-01 , -5.564058E-01 , -3.338115E+00 
0.000 , 0.007 , 0.045 , 6.710,0.4507,3.024,0.533,0.496, 6.561005E+00, 5.447163E-01 , -5.562016E-01 , -3.336887E+00 
-0.058 , 0.002 , -0.011 , 6.653,0.4529,3.013,0.488,0.500, 6.523982E+00, 5.447057E-01 , -5.562970E-01 , -3.337456E+00 
-0.067 , 0.011 , 0.043 , 6.586,0.4640,3.056,0.466,0.504, 6.523955E+00, 5.483943E-01 , -5.564032E-01 , -3.338094E+00 
-0.038 , 0.002 , -0.003 , 6.547,0.4662,3.052,0.533,0.508, 6.561663E+00, 5.483544E-01 , -5.564269E-01 , -3.338236E+00 
-0.019 , 0.000 , -0.009 , 6.528,0.4662,3.043,0.511,0.512, 6.555599E+00, 5.447139E-01 , -5.562291E-01 , -3.337053E+00 
-0.077 , 0.009 , 0.021 , 6.451,0.4751,3.065,0.511,0.516, 6.524561E+00, 5.447864E-01 , -5.563533E-01 , -3.337795E+00 
-0.019 , 0.011 , 0.062 , 6.432,0.4862,3.127,0.533,0.520, 6.539227E+00, 5.483789E-01 , -5.564582E-01 , -3.338429E+00 
-0.010 , 0.002 , 0.010 , 6.422,0.4884,3.137,0.533,0.524, 6.560812E+00, 5.484616E-01 , -5.562426E-01 , -3.337137E+00 
-0.077 , 0.000 , -0.038 , 6.346,0.4884,3.099,0.488,0.520, 6.528007E+00, 5.447951E-01 , -5.563200E-01 , -3.337599E+00 
0.058 , 0.000 , 0.028 , 6.403,0.4884,3.127,0.533,0.524, 6.523839E+00, 5.447637E-01 , -5.564186E-01 , -3.338189E+00 
-0.058 , 0.000 , -0.028 , 6.346,0.4884,3.099,0.533,0.528, 6.560795E+00, 5.484215E-01 , -5.562170E-01 , -3.338248E+00 
-0.010 , 0.000 , -0.005 , 6.336,0.4884,3.095,0.533,0.532, 6.560400E+00, 5.484545E-01 , -5.563648E-01 , -3.337864E+00 
-0.029 , 0.000 , -0.014 , 6.307,0.4884,3.080,0.533,0.536, 6.523911E+00, 5.447504E-01 , -5.562304E-01 , -3.337057E+00 
-0.067 , 0.002 , -0.019 , 6.240,0.4906,3.061,0.533,0.540, 6.523948E+00, 5.454966E-01 , -5.564320E-01 , -3.338265E+00 
0.000 , 0.018 , 0.111 , 6.240,0.5084,3.172,0.533,0.544, 6.560984E+00, 5.484439E-01 , -5.564365E-01 , -3.338294E+00 
-0.096 , 0.002 , -0.035 , 6.144,0.5106,3.137,0.533,0.540, 6.560324E+00, 5.459149E-01 , -5.562554E-01 , -3.337210E+00 
0.096 , -0.002 , 0.035 , 6.240,0.5084,3.172,0.511,0.544, 6.523515E+00, 5.447412E-01 , -5.563462E-01 , -3.337755E+00 
-0.106 , 0.002 , -0.040 , 6.134,0.5106,3.132,0.533,0.540, 6.523712E+00, 5.485302E-01 , -5.564486E-01 , -3.338370E+00 
0.010 , -0.004 , -0.022 , 6.144,0.5062,3.110,0.533,0.536, 6.560546E+00, 5.484465E-01 , -5.563853E-01 , -3.337990E+00 
0.000 , -0.018 , -0.109 , 6.144,0.4884,3.001,0.533,0.532, 6.560641E+00, 5.457172E-01 , -5.562458E-01 , -3.337152E+00 
0.096 , 0.000 , 0.047 , 6.240,0.4884,3.048,0.511,0.536, 6.523968E+00, 5.447969E-01 , -5.564115E-01 , -3.338144E+00 
-0.096 , 0.000 , -0.047 , 6.144,0.4884,3.001,0.511,0.532, 6.524436E+00, 5.484078E-01 , -5.564339E-01 , -3.338280E+00 
